단원명;영단어;뜻;예문;해석
Lesson 1 What Grade Are You In?;drummer;드러머;The drummer kept the beat during the show.;드러머가 공연 동안 박자를 맞췄다.
Lesson 1 What Grade Are You In?;famous;유명한;This museum is famous because of its painting.;이 박물관은 그림 때문에 유명하다.
Lesson 1 What Grade Are You In?;grade;학년;I moved up to the sixth grade this year.;나는 올해 6학년으로 올라갔다.
Lesson 1 What Grade Are You In?;guitarist;기타리스트;The guitarist wrote a song for the festival.;그 기타리스트는 축제를 위해 노래를 썼다.
Lesson 1 What Grade Are You In?;spell;철자하다;How do you spell your middle name?;네 가운데 이름은 어떻게 철자하니?
Lesson 2 I Have a Cold;cart;수레/카트;We pushed the cart because the boxes were heavy.;상자가 무거워서 우리는 카트를 밀었다.
Lesson 2 I Have a Cold;dentist;치과의사;I went to the dentist when my tooth hurt.;나는 이가 아플 때 치과의사에게 갔다.
Lesson 2 I Have a Cold;fast;빠른/빨리;The bus wasn’t fast, so we arrived late.;버스가 빠르지 않아서 우리는 늦게 도착했다.
Lesson 2 I Have a Cold;fever;열;She has a fever, so she should rest at home.;그녀는 열이 나서 집에서 쉬어야 한다.
Lesson 2 I Have a Cold;headache;두통;I had a headache after reading in the dark.;어두운 곳에서 책을 읽다가 두통이 생겼다.
Lesson 2 I Have a Cold;medicine;약;Take this medicine after dinner.;이 약을 저녁 식사 후에 먹어라.
Lesson 2 I Have a Cold;mouth;입;Don’t put the marble in your mouth.;구슬을 입에 넣지 마.
Lesson 2 I Have a Cold;nose;코;My nose was runny because of the cold.;감기 때문에 콧물이 났다.
Lesson 2 I Have a Cold;poor;가난한;We donated books to poor children.;우리는 가난한 아이들에게 책을 기부했다.
Lesson 2 I Have a Cold;rest;휴식;Take a rest if you feel tired.;피곤하면 쉬어라.
Lesson 2 I Have a Cold;stomachache;복통/배앓이;He had a stomachache after eating too fast.;그는 너무 빨리 먹고 배가 아팠다.
Lesson 2 I Have a Cold;tooth;이;This tooth is loose, but it doesn’t hurt.;이 이가 흔들리지만 아프지는 않다.
Lesson 2 I Have a Cold;toothache;치통;My toothache got better after the treatment.;치료 후에 치통이 나아졌다.
Lesson 2 I Have a Cold;warm;따뜻한;Drink warm tea when you have a sore throat.;목이 아플 때는 따뜻한 차를 마셔라.
Lesson 2 I Have a Cold;wrong;잘못된;Your answer is wrong, but your idea is creative.;네 답은 틀렸지만 아이디어는 창의적이야.
